ID	oldPatchID	patchType	distance_m	xcor	ycor	size_sqm	quantityPollen_g	Concentration	quantityNectar_l	calc_DetectProb	model_DetectProb	NectarGathering_s	PollenGathering_s	startDay	stopDay	ETOX_ApplicationList_patch	ETOX_ExposurePeriodsList_patch	ETOX_PPPConcNectar_patch	ETOX_PPPConcPollen_patch	ETOX_PPPContact_patch	ETOX_WaterVolume_patch	ETOX_WaterConc_patch	ETOX_RUD_patch
72	72	"YellowField"	3891.6	-3781.25	-2031.25	88867	222.167	1.5	44.433	0.00023	0.00012	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
73	73	"YellowField"	3331.5	3093.75	-2218.75	188477	471.192	1.5	94.238	0.0007	0.00037	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
74	74	"RedField"	1931.7	-31.25	-2093.75	86914	869.14	2	10.864	0.00357	0.00344	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
75	75	"YellowField"	3623	-3062.5	-2468.75	218750	546.875	1.5	109.375	0.00051	0.00079	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
76	76	"RedField"	2504.9	1218.75	-2312.5	66406	664.06	2	8.301	0.00132	0.00098	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
77	77	"RedField"	3840.2	3312.5	-2468.75	132813	1328.13	2	16.602	0.0003	0.00002	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
78	78	"RedField"	4933.3	-4656.25	-2468.75	45898	458.98	2	5.737	0.00004	0	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
79	79	"YellowField"	3513.9	2718.75	-2406.25	36133	90.332	1.5	18.066	0.00024	0.00005	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
80	80	"BlueField"	3363.4	2375	-2375	977	1.954	1.5	0.122	0.00005	0.00005	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
81	81	"RedField"	4379.1	3781.25	-2625	86914	869.14	2	10.864	0.00012	0	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
82	82	"RedField"	3661.1	2687.5	-2468.75	977	9.77	2	0.122	0.00003	0.00002	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
83	83	"YellowField"	3905.1	-3843.75	-2937.5	292969	732.422	1.5	146.484	0.00041	0.00017	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
84	84	"RedField"	3343.9	2156.25	-2687.5	86914	869.14	2	10.864	0.00047	0.00034	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
85	85	"YellowField"	2594.5	-531.25	-2906.25	141602	354.005	1.5	70.801	0.00169	0.00121	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
86	86	"RedField"	2851.1	875	-2875	191406	1914.06	2	23.926	0.00136	0.00061	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
87	87	"YellowField"	4637	-4250	-2906.25	162109	405.272	1.5	81.054	0.00012	0	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
88	88	"RedField"	3333.4	-2218.75	-2843.75	9766	97.66	2	1.221	0.00016	0.00052	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
89	89	"BlueField"	5279.4	-4687.5	-2812.5	115234	230.468	1.5	14.404	0.00004	0	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
